slot,kWh
00:00,0.2948392857142857
00:30,0.31324725274725274
01:00,0.27441002747252746
01:30,0.29936126373626376
02:00,0.31180563186813187
02:30,0.27844986263736266
03:00,0.27438118131868133
03:30,0.20450274725274728
04:00,0.16607967032967033
04:30,0.15365247252747252
05:00,0.16332074175824174
05:30,0.19012362637362637
06:00,0.21964835164835164
06:30,0.2584945054945055
07:00,0.29080494505494503
07:30,0.3312026098901099
08:00,0.37702472527472525
08:30,0.3925315934065934
09:00,0.38897939560439565
09:30,0.416092032967033
10:00,0.3834402472527472
10:30,0.35207074175824177
11:00,0.34813667582417585
11:30,0.3421950549450549
12:00,0.32719436813186814
12:30,0.3056497252747253
13:00,0.2945982142857143
13:30,0.2799532967032967
14:00,0.24310302197802194
14:30,0.2571160714285714
15:00,0.23703708791208788
15:30,0.23598832417582416
16:00,0.23605013736263739
16:30,0.24656043956043958
17:00,0.29466414835164834
17:30,0.3268626373626373
18:00,0.37420947802197807
18:30,0.3951703296703297
19:00,0.37490384615384614
19:30,0.3412589285714286
20:00,0.3155989010989011
20:30,0.27054876373626374
21:00,0.24476098901098903
21:30,0.2537644230769231
22:00,0.28879326923076926
22:30,0.27718337912087915
23:00,0.28685027472527475
23:30,0.2924876373626374
