slot,Weekday,Weekend
00:00,0.2362173076923077,0.2218028846153846
00:30,0.26981346153846153,0.2364423076923077
01:00,0.20867692307692307,0.18557211538461538
01:30,0.2239057692307692,0.24859615384615383
02:00,0.24698076923076925,0.29144230769230767
02:30,0.21454423076923076,0.3296682692307692
03:00,0.2115846153846154,0.3224423076923077
03:30,0.19278653846153845,0.24398557692307693
04:00,0.16564615384615383,0.16113461538461538
04:30,0.16038653846153844,0.14333653846153846
05:00,0.19660576923076922,0.13913461538461538
05:30,0.19571346153846153,0.2013798076923077
06:00,0.2438423076923077,0.24641346153846153
06:30,0.29696346153846154,0.2307980769230769
07:00,0.35347884615384617,0.23478846153846153
07:30,0.38482884615384616,0.2590576923076923
08:00,0.4107538461538462,0.33962499999999995
08:30,0.4045692307692308,0.3767451923076923
09:00,0.4235,0.2960336538461539
09:30,0.4561557692307692,0.3186826923076923
10:00,0.3849326923076923,0.3580048076923077
10:30,0.3522019230769231,0.40149519230769226
11:00,0.35313846153846157,0.35111057692307696
11:30,0.3316173076923077,0.4196730769230769
12:00,0.32596153846153847,0.3439711538461539
12:30,0.2930884615384616,0.3456682692307692
13:00,0.27160576923076923,0.30235576923076923
13:30,0.24564038461538462,0.31609134615384615
14:00,0.2266923076923077,0.30373076923076925
14:30,0.2418923076923077,0.30981730769230775
15:00,0.21927884615384616,0.25185576923076924
15:30,0.19778846153846152,0.2505
16:00,0.20477115384615382,0.2833125
16:30,0.24444230769230768,0.2221201923076923
17:00,0.29325769230769233,0.2697451923076923
17:30,0.355525,0.3185480769230769
18:00,0.4299615384615385,0.30207211538461537
18:30,0.4216673076923077,0.4129903846153846
19:00,0.41977884615384614,0.39661057692307694
19:30,0.3640288461538461,0.3968990384615385
20:00,0.33066923076923077,0.3186442307692308
20:30,0.25429999999999997,0.30380769230769233
21:00,0.252525,0.2204471153846154
21:30,0.24364615384615385,0.2483653846153846
22:00,0.2892423076923077,0.2496201923076923
22:30,0.2683615384615385,0.24108653846153846
23:00,0.2823480769230769,0.2985865384615385
23:30,0.2342173076923077,0.2646153846153846
